bin	name	chrom	strand	txStart	txEnd	name2
93	NM_001177520	chr1	+	21835850	21904905	ALPL
1428	NM_006492	chr1	-	110602996	110613322	ALX3
1424	NM_020703	chr1	-	110049445	110052336	AMIGO1
1464	NM_000036	chr1	-	115215719	115238239	AMPD1
1464	NM_001172626	chr1	-	115215719	115238239	AMPD1
1425	NM_001257360	chr1	+	110162434	110174677	AMPD2
1425	NM_139156	chr1	+	110162434	110174677	AMPD2
1425	NM_004037	chr1	+	110163202	110174677	AMPD2
1425	NM_001308170	chr1	+	110163535	110174677	AMPD2
1425	NM_001257361	chr1	+	110166609	110174677	AMPD2
1425	NM_203404	chr1	+	110168048	110174677	AMPD2
172	NM_001008221	chr1	+	104198140	104207173	AMY1A
172	NM_004038	chr1	+	104198301	104207173	AMY1A
1380	NM_004038	chr1	-	104230039	104238912	AMY1A
1380	NM_001008221	chr1	-	104230039	104239073	AMY1A
1380	NM_001008221	chr1	+	104292278	104301311	AMY1A
1380	NM_004038	chr1	+	104292439	104301311	AMY1A
172	NM_001008218	chr1	+	104198324	104207172	AMY1B
1380	NM_001008218	chr1	-	104230040	104238889	AMY1B
1380	NM_001008218	chr1	+	104292462	104301310	AMY1B
172	NM_001008219	chr1	+	104198302	104207172	AMY1C
1380	NM_001008219	chr1	-	104230040	104238911	AMY1C
1380	NM_001008219	chr1	+	104292440	104301310	AMY1C
1379	NM_000699	chr1	+	104159953	104168402	AMY2A
1379	NM_020978	chr1	+	104097265	104122156	AMY2B
2211	NM_001300755	chr1	-	213165523	213188851	ANGEL2
2211	NR_125333	chr1	-	213165523	213189217	ANGEL2
2211	NM_001300753	chr1	-	213165523	213189217	ANGEL2
2211	NM_001300757	chr1	-	213165523	213189217	ANGEL2
2211	NM_001300758	chr1	-	213165523	213189217	ANGEL2
2211	NM_144567	chr1	-	213165523	213189217	ANGEL2
1949	NM_004673	chr1	-	178818669	178840215	ANGPTL1
1066	NM_014495	chr1	+	63063157	63071976	ANGPTL3
670	NM_021146	chr1	+	11249345	11256038	ANGPTL7
140	NM_030816	chr1	-	70724684	70820417	ANKRD13C
1673	NR_046228	chr1	-	142697420	142713605	ANKRD20A12P
1694	NM_001039888	chr1	+	145470507	145475647	ANKRD34A
1695	NM_001280799	chr1	+	145549208	145568526	ANKRD35
1695	NM_144698	chr1	+	145549208	145568526	ANKRD35
1868	NR_026844	chr1	-	168214818	168216668	ANKRD36BP1
1909	NM_198493	chr1	-	173577474	173639001	ANKRD45
595	NM_001145210	chr1	-	1353799	1356824	ANKRD65
595	NM_001243535	chr1	-	1353799	1356824	ANKRD65
595	NM_001243536	chr1	-	1353799	1356824	ANKRD65
1730	NM_001136479	chr1	-	150190716	150207026	ANP32E
1730	NM_001136478	chr1	-	150190716	150208504	ANP32E
1730	NM_001280559	chr1	-	150190716	150208504	ANP32E
1730	NM_001280560	chr1	-	150190716	150208504	ANP32E
1730	NM_030920	chr1	-	150190716	150208504	ANP32E
1736	NM_003568	chr1	+	150954498	150968114	ANXA9
1458	NM_001253852	chr1	-	114436816	114447545	AP4B1
1458	NM_001253853	chr1	-	114436816	114447746	AP4B1
1458	NM_006594	chr1	-	114436816	114447746	AP4B1
1458	NM_001308312	chr1	-	114436816	114447545	AP4B1
182	NR_125965	chr1	+	114355233	114443859	AP4B1-AS1
182	NR_037864	chr1	+	114399256	114443859	AP4B1-AS1
1802	NM_001639	chr1	+	159557615	159558661	APCS
1731	NR_045033	chr1	-	150237798	150241609	APH1A
1731	NM_001243771	chr1	-	150237798	150241609	APH1A
1731	NM_016022	chr1	-	150237798	150241609	APH1A
1731	NM_001243772	chr1	-	150237798	150241609	APH1A
1731	NR_045035	chr1	-	150237798	150241609	APH1A
1731	NR_045034	chr1	-	150237798	150241609	APH1A
1731	NM_001077628	chr1	-	150237798	150241609	APH1A
665	NM_199294	chr1	+	10490158	10502872	APITD1
665	NR_036462	chr1	+	10490803	10502872	APITD1
665	NM_001270517	chr1	+	10490158	10512060	APITD1-CORT
665	NM_198544	chr1	+	10490158	10512060	APITD1-CORT
665	NM_199006	chr1	+	10490158	10512060	APITD1-CORT
665	NM_001243768	chr1	+	10490803	10512060	APITD1-CORT
665	NR_037187	chr1	+	10490803	10512060	APITD1-CORT
1814	NM_001643	chr1	-	161192082	161193418	APOA2
1985	NM_203454	chr1	-	183615410	183622448	APOBEC4
1762	NM_080429	chr1	+	154293591	154297801	AQP10
2326	NM_001024226	chr1	+	228270360	228286913	ARF1
2326	NM_001658	chr1	+	228270360	228286913	ARF1
2326	NM_001024227	chr1	+	228270850	228286913	ARF1
2326	NM_001024228	chr1	+	228270850	228286913	ARF1
1307	NM_004815	chr1	-	94634462	94703307	ARHGAP29
1307	NM_001328666	chr1	-	94634462	94703307	ARHGAP29
1307	NM_001328667	chr1	-	94634462	94703307	ARHGAP29
1307	NM_001328664	chr1	-	94634462	94713316	ARHGAP29
1307	NM_001328665	chr1	-	94634462	94713316	ARHGAP29
1813	NM_001025598	chr1	-	161016731	161039760	ARHGAP30
1813	NM_001287600	chr1	-	161016731	161039760	ARHGAP30
1813	NM_001287602	chr1	-	161016731	161039760	ARHGAP30
1813	NM_181720	chr1	-	161016731	161039760	ARHGAP30
90	NM_001319838	chr1	+	17944807	18024370	ARHGEF10L
90	NM_001328124	chr1	+	17944807	18024364	ARHGEF10L
90	NM_001319837	chr1	+	17907047	18024370	ARHGEF10L
90	NM_018125	chr1	+	17866329	18024370	ARHGEF10L
90	NM_001011722	chr1	+	17907047	18024370	ARHGEF10L
90	NR_137288	chr1	+	17866329	18024364	ARHGEF10L
90	NR_137287	chr1	+	17866329	18024364	ARHGEF10L
1782	NM_014784	chr1	-	156904631	157015162	ARHGEF11
1782	NM_198236	chr1	-	156904631	157015162	ARHGEF11
610	NM_014448	chr1	+	3371146	3397677	ARHGEF16
711	NM_153213	chr1	-	16524598	16539104	ARHGEF19
1774	NM_004723	chr1	-	155916629	155947966	ARHGEF2
1774	NM_001162383	chr1	-	155916629	155948336	ARHGEF2
1774	NM_001162384	chr1	-	155916629	155948336	ARHGEF2
791	NM_006015	chr1	+	27022521	27108601	ARID1A
791	NM_139135	chr1	+	27022521	27108601	ARID1A
297	NM_001206794	chr1	-	235330209	235490802	ARID4B
297	NM_016374	chr1	-	235330209	235491532	ARID4B
297	NM_031371	chr1	-	235330209	235491532	ARID4B
297	NR_135074	chr1	-	235330209	235491534	ARID4B
265	NM_138795	chr1	-	202102531	202113871	ARL8A
265	NM_001256129	chr1	-	202102531	202113871	ARL8A
1735	NM_001197325	chr1	-	150782180	150849244	ARNT
1735	NM_001286035	chr1	-	150782180	150849244	ARNT
1735	NM_001286036	chr1	-	150782180	150849244	ARNT
1735	NM_001668	chr1	-	150782180	150849244	ARNT
1735	NM_178427	chr1	-	150782180	150849244	ARNT
1985	NM_001270439	chr1	-	183595327	183605076	ARPC5
1985	NM_005717	chr1	-	183595327	183605076	ARPC5
923	NM_057091	chr1	+	44398991	44402912	ARTN
923	NM_057090	chr1	+	44398991	44402912	ARTN
923	NM_001136215	chr1	+	44398991	44402912	ARTN
2348	NM_022786	chr1	+	231114822	231136479	ARV1
766	NM_001143778	chr1	-	23755055	23810750	ASAP3
766	NM_017707	chr1	-	23755055	23810750	ASAP3
1167	NM_080868	chr1	-	76384557	76398116	ASB17
1167	NR_026546	chr1	-	76384557	76398116	ASB17
2119	NM_001270601	chr1	-	201083080	201084500	ASCL5
221	NM_018489	chr1	-	155305051	155532324	ASH1L
1771	NR_027023	chr1	+	155531771	155533735	ASH1L-AS1
2088	NM_001206846	chr1	-	197053256	197115824	ASPM
2088	NM_018136	chr1	-	197053256	197115824	ASPM
241	NM_001286164	chr1	-	176826440	177134040	ASTN1
241	NM_004319	chr1	-	176830199	177134040	ASTN1
241	NM_207108	chr1	-	176837953	177134040	ASTN1
596	NM_001170535	chr1	+	1447522	1470067	ATAD3A
596	NM_001170536	chr1	+	1447909	1470067	ATAD3A
596	NM_018188	chr1	+	1447522	1470067	ATAD3A
595	NM_031921	chr1	+	1407134	1431584	ATAD3B
595	NM_001317238	chr1	+	1413494	1431584	ATAD3B
595	NM_001039211	chr1	+	1385068	1405538	ATAD3C
2208	NM_001030287	chr1	+	212738675	212794119	ATF3
2208	NM_001040619	chr1	+	212781969	212794119	ATF3
2208	NM_001206484	chr1	+	212781969	212794119	ATF3
2208	NM_001206488	chr1	+	212781969	212794119	ATF3
2208	NM_001674	chr1	+	212781969	212794119	ATF3
2208	NM_001206486	chr1	+	212788359	212794119	ATF3
227	NM_007348	chr1	+	161736033	161933860	ATF6
133	NM_032852	chr1	+	63249776	63330941	ATG4C
133	NM_178221	chr1	+	63249776	63330941	ATG4C
717	NM_001141973	chr1	-	17312452	17338467	ATP13A2
717	NM_001141974	chr1	-	17312452	17338467	ATP13A2
717	NM_022089	chr1	-	17312452	17338467	ATP13A2
184	NM_000701	chr1	+	116915794	116947396	ATP1A1
1477	NM_001160233	chr1	+	116916488	116947396	ATP1A1
1477	NM_001160234	chr1	+	116925991	116947396	ATP1A1
1477	NR_027646	chr1	-	116935486	116961244	ATP1A1-AS1
1477	NR_027645	chr1	-	116941621	116961197	ATP1A1-AS1
1477	NR_024124	chr1	-	116947335	116961197	ATP1A1-AS1
1477	NR_024125	chr1	-	116947335	116961205	ATP1A1-AS1
1477	NR_024126	chr1	-	116948039	116961181	ATP1A1-AS1
1806	NM_000702	chr1	+	160085519	160113374	ATP1A2
1806	NM_144699	chr1	+	160121351	160156767	ATP1A4
1806	NM_001001734	chr1	+	160147200	160156767	ATP1A4
234	NM_001677	chr1	+	169075946	169101960	ATP1B1
267	NM_001001396	chr1	+	203595914	203713209	ATP2B4
267	NM_001684	chr1	+	203595914	203713209	ATP2B4
1439	NM_001688	chr1	+	111991742	112004525	ATP5F1
924	NM_001039457	chr1	+	44440319	44443972	ATP6V0B
924	NM_001294333	chr1	+	44440319	44443972	ATP6V0B
924	NM_004047	chr1	+	44440319	44443972	ATP6V0B
2099	NM_133326	chr1	-	198492351	198510075	ATP6V1G3
2099	NM_133262	chr1	-	198492351	198510075	ATP6V1G3
2099	NM_001320218	chr1	-	198492351	198510075	ATP6V1G3
1762	NM_001005855	chr1	+	154298035	154310322	ATP8B2
1762	NM_020452	chr1	+	154300275	154323780	ATP8B2
944	NM_001243728	chr1	-	47100710	47131550	ATPAF1
944	NM_001256418	chr1	-	47100710	47131550	ATPAF1
944	NM_022745	chr1	-	47100710	47134099	ATPAF1
944	NM_001042546	chr1	-	47100710	47134099	ATPAF1
802	NM_016311	chr1	+	28562601	28564616	ATPIF1
802	NM_178190	chr1	+	28562601	28564616	ATPIF1
802	NM_178191	chr1	+	28562601	28564616	ATPIF1
1424	NM_153340	chr1	+	110026560	110035420	ATXN7L2
784	NM_001287490	chr1	-	26158403	26185949	AUNIP
784	NM_024037	chr1	-	26160496	26185949	AUNIP
594	NM_001127229	chr1	-	1309109	1310580	AURKAIP1
74	NM_017900	chr1	-	1309109	1310818	AURKAIP1
594	NM_001127230	chr1	-	1309110	1310562	AURKAIP1
2266	NR_001587	chr1	-	220439520	220441057	AURKAPS1
2158	NM_000707	chr1	+	206224282	206231482	AVPR1B
244	NM_144696	chr1	+	179334854	179523870	AXDND1
244	NR_073544	chr1	+	179335106	179523870	AXDND1
1	NM_001293562	chr1	+	33546713	33586132	AZIN2
1	NM_052998	chr1	+	33546713	33586132	AZIN2
1	NM_001301823	chr1	+	33546729	33586132	AZIN2
1	NM_001301824	chr1	+	33546729	33586132	AZIN2
1	NM_001301826	chr1	+	33547778	33567493	AZIN2
1	NR_126031	chr1	+	33547778	33567493	AZIN2
1	NM_001301825	chr1	+	33547778	33586132	AZIN2
297	NM_001277155	chr1	-	235628212	235667781	B3GALNT2
297	NM_152490	chr1	-	235610504	235667781	B3GALNT2
2058	NM_003783	chr1	-	193147859	193155743	B3GALT2
593	NM_080605	chr1	+	1167628	1170420	B3GALT6
924	NM_003780	chr1	+	44444873	44456843	B4GALT2
924	NM_030587	chr1	+	44445607	44456843	B4GALT2
924	NM_001005417	chr1	+	44446176	44456843	B4GALT2
1814	NM_001199873	chr1	-	161141099	161147758	B4GALT3
1814	NM_001199874	chr1	-	161141099	161147758	B4GALT3
1814	NM_003779	chr1	-	161141099	161147758	B4GALT3
1280	NM_020063	chr1	-	91177578	91182794	BARHL2
34	NM_018664	chr1	-	212859758	212873327	BATF3
1779	NM_198427	chr1	+	156611739	156623264	BCAN
1779	NM_021948	chr1	+	156611739	156629324	BCAN
1302	NM_001308251	chr1	-	94027297	94050719	BCAR3
1302	NM_001261410	chr1	-	94027342	94079702	BCAR3
162	NM_001261409	chr1	-	94027342	94146926	BCAR3
162	NM_003567	chr1	-	94027342	94147394	BCAR3
162	NM_001261408	chr1	-	94027342	94312706	BCAR3
1463	NM_005872	chr1	-	115110180	115124265	BCAS2
1239	NM_003921	chr1	-	85731459	85742587	BCL10
1239	NM_001320715	chr1	-	85731459	85742587	BCL10
182	NM_001010922	chr1	-	114419435	114430169	BCL2L15
213	NM_004326	chr1	+	147013270	147098020	BCL9
2432	NM_001290693	chr1	+	242121068	242122364	BECN2
960	NM_001302082	chr1	-	49193194	49242641	BEND5
960	NM_024603	chr1	-	49193194	49242641	BEND5
930	NM_153274	chr1	-	45249256	45253426	BEST4
1776	NM_199173	chr1	+	156211752	156213123	BGLAP
2152	NR_103783	chr1	-	205404013	205425214	BLACAT1
234	NM_003666	chr1	+	169337116	169365780	BLZF1
234	NM_001320972	chr1	+	169337116	169346621	BLZF1
234	NM_001320973	chr1	+	169337116	169357543	BLZF1
111	NM_181809	chr1	+	39957317	39995541	BMP8A
111	NM_001720	chr1	-	40223902	40254533	BMP8B
1737	NM_138278	chr1	+	151009028	151020076	BNIPL
1737	NM_001159642	chr1	+	151009028	151020076	BNIPL
1728	NM_001321025	chr1	+	149871134	149872348	BOLA1
1728	NM_001321026	chr1	+	149871134	149872348	BOLA1
1728	NM_016074	chr1	+	149871134	149872348	BOLA1
2265	NM_001286149	chr1	-	220230823	220263195	BPNT1
2265	NM_001286150	chr1	-	220230823	220263195	BPNT1
2265	NM_001286151	chr1	-	220230823	220263195	BPNT1
2265	NM_006085	chr1	-	220230823	220263195	BPNT1
1290	NM_001242805	chr1	+	92414927	92479985	BRDT
1290	NM_001242806	chr1	+	92414927	92479985	BRDT
1290	NM_001242807	chr1	+	92414927	92479985	BRDT
1290	NM_001242808	chr1	+	92414927	92479985	BRDT
1290	NM_001242810	chr1	+	92414927	92479985	BRDT
1290	NM_207189	chr1	+	92414927	92479985	BRDT
1290	NM_001726	chr1	+	92417708	92479985	BRDT
30	NM_021165	chr1	+	177140523	177251558	BRINP2
254	NM_001317188	chr1	-	190066796	190445140	BRINP3
254	NM_199051	chr1	-	190066796	190447012	BRINP3
2285	NR_109927	chr1	+	222885894	222887247	BROX
2285	NM_001288579	chr1	+	222885894	222908538	BROX
2285	NM_144695	chr1	+	222885894	222908538	BROX
2285	NM_001288580	chr1	+	222886662	222908538	BROX
2285	NM_001288581	chr1	+	222886662	222908538	BROX
835	NM_001143888	chr1	-	32830233	32860062	BSDC1
835	NM_001143889	chr1	-	32830233	32860062	BSDC1
835	NM_001143890	chr1	-	32830233	32860062	BSDC1
835	NM_001300958	chr1	-	32830233	32860062	BSDC1
835	NR_125352	chr1	-	32830233	32860062	BSDC1
835	NM_018045	chr1	-	32830233	32860062	BSDC1
1008	NM_057176	chr1	+	55464616	55474465	BSND
930	NM_001136537	chr1	+	45274153	45279801	BTBD19
1291	NM_183242	chr1	+	92545861	92613401	BTBD8
985	NM_001243767	chr1	+	52521856	52556388	BTF3L4
985	NM_001136497	chr1	+	52521856	52556388	BTF3L4
985	NM_152265	chr1	+	52521856	52556388	BTF3L4
2135	NM_006763	chr1	+	203274663	203278729	BTG2
2329	NM_001287262	chr1	-	228698059	228699989	BTNL10
2450	NM_001012970	chr1	+	244515936	244552388	C1orf100
2450	NM_001276348	chr1	+	244515936	244552388	C1orf100
2450	NM_001276349	chr1	+	244515936	244552388	C1orf100
306	NM_001130957	chr1	+	244624672	244803662	C1orf101
306	NM_001242340	chr1	+	244624672	244803662	C1orf101
306	NM_173807	chr1	+	244624672	244803662	C1orf101
1900	NM_139240	chr1	+	172389827	172437969	C1orf105
1900	NM_001300760	chr1	+	172422032	172437969	C1orf105
2117	NM_018265	chr1	+	200860626	200884864	C1orf106
2117	NM_001142569	chr1	+	200863948	200884864	C1orf106
876	NM_017850	chr1	-	38147241	38156267	C1orf109
876	NM_001303031	chr1	-	38147241	38156267	C1orf109
876	NM_001303030	chr1	-	38147241	38156267	C1orf109
1823	NM_182581	chr1	-	162343514	162346644	C1orf111
1880	NM_001320051	chr1	+	169763870	169773526	C1orf112
1880	NM_001320050	chr1	+	169764139	169773526	C1orf112
1880	NM_001320047	chr1	+	169764139	169822230	C1orf112
1880	NM_001320048	chr1	+	169764139	169822230	C1orf112
1880	NM_018186	chr1	+	169764549	169822230	C1orf112
2270	NM_024709	chr1	+	220863627	220872499	C1orf115
2165	NM_001083924	chr1	-	207191865	207206101	C1orf116
2165	NM_023938	chr1	-	207191865	207206101	C1orf116
877	NM_001142726	chr1	+	38273472	38275126	C1orf122
877	NM_198446	chr1	+	38273472	38275126	C1orf122
994	NM_001304759	chr1	-	53679771	53686311	C1orf123
994	NM_001304760	chr1	-	53679771	53686311	C1orf123
994	NR_130897	chr1	-	53685472	53686311	C1orf123
994	NM_017887	chr1	-	53679771	53686311	C1orf123
83	NM_001170754	chr1	-	11006529	11042094	C1orf127
